"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1443","202012090700","2","1","0"
"TT_TU_MN009","1443","202012090800","2.2","1","0"
"TT_TU_MN009","1443","202012090900","2.4","1","0"
"TT_TU_MN009","1443","202012091000","2.9","1","0"
"TT_TU_MN009","1443","202012091100","3","1","0"
"TT_TU_MN009","1443","202012091200","2.9","1","0"
"TT_TU_MN009","1443","202012091300","2.7","1","0"
"TT_TU_MN009","1443","202012091400","2.8","1","0"
"TT_TU_MN009","1443","202012091500","2.8","1","0"
"TT_TU_MN009","1443","202012091600","2.5","1","0"
"TT_TU_MN009","1443","202012091700","1.6","1","0"
"TT_TU_MN009","1443","202012091800","1.3","1","0"
"TT_TU_MN009","1443","202012091900","1.1","1","0"
"TT_TU_MN009","1443","202012092000","1.2","1","0"
"TT_TU_MN009","1443","202012092100","1.5","1","0"
"TT_TU_MN009","1443","202012092200","1.7","1","0"
"TT_TU_MN009","1443","202012092300","1.2","1","0"
"TT_TU_MN009","1443","202012100000","1.2","1","0"
"TT_TU_MN009","1443","202012100100","0.7","1","0"
"TT_TU_MN009","1443","202012100200","0.8","1","0"
"TT_TU_MN009","1443","202012100300","0.6","1","0"
"TT_TU_MN009","1443","202012100400","1","1","0"
"TT_TU_MN009","1443","202012100500","0.7","1","0"
"TT_TU_MN009","1443","202012100600","0.4","1","0"
"TT_TU_MN009","1443","202012100700","-1.1","1","0"
"TT_TU_MN009","1443","202012100800","-0.1","1","0"
"TT_TU_MN009","1443","202012100900","0.6","1","0"
"TT_TU_MN009","1443","202012101000","1.6","1","0"
"TT_TU_MN009","1443","202012101100","1.7","1","0"
"TT_TU_MN009","1443","202012101200","2.3","1","0"
"TT_TU_MN009","1443","202012101300","2.4","1","0"
"TT_TU_MN009","1443","202012101400","2.4","1","0"
"TT_TU_MN009","1443","202012101500","2.4","1","0"
"TT_TU_MN009","1443","202012101600","2.2","1","0"
"TT_TU_MN009","1443","202012101700","2.3","1","0"
"TT_TU_MN009","1443","202012101800","2","1","0"
"TT_TU_MN009","1443","202012101900","0.3","1","0"
"TT_TU_MN009","1443","202012102000","-0.1","1","0"
"TT_TU_MN009","1443","202012102100","-1.8","1","0"
"TT_TU_MN009","1443","202012102200","-2","1","0"
"TT_TU_MN009","1443","202012102300","-1.1","1","0"
"TT_TU_MN009","1443","202012110000","-2","1","0"
"TT_TU_MN009","1443","202012110100","-3.3","1","0"
"TT_TU_MN009","1443","202012110200","-3.6","1","0"
"TT_TU_MN009","1443","202012110300","-3.5","1","0"
"TT_TU_MN009","1443","202012110400","-2.7","1","0"
"TT_TU_MN009","1443","202012110500","-2.1","1","0"
"TT_TU_MN009","1443","202012110600","-1.4","1","0"
"TT_TU_MN009","1443","202012110700","-1.9","1","0"
"TT_TU_MN009","1443","202012110800","-1.9","1","0"
"TT_TU_MN009","1443","202012110900","-0.4","1","0"
