Tag;Stunde;AVG_TA200
17.12.2020;20:00;8,42
17.12.2020;21:00;8,12
17.12.2020;22:00;7,74
17.12.2020;23:00;7,39
18.12.2020;00:00;7,21
18.12.2020;01:00;6,54
18.12.2020;02:00;6,54
18.12.2020;03:00;6,07
18.12.2020;04:00;5,95
18.12.2020;05:00;6,04
18.12.2020;06:00;6,14
18.12.2020;07:00;5,78
18.12.2020;08:00;5,52
18.12.2020;09:00;5,44
18.12.2020;10:00;5,36
18.12.2020;11:00;6,47
18.12.2020;12:00;7,96
18.12.2020;13:00;9,16
18.12.2020;14:00;9,76
18.12.2020;15:00;9,03
18.12.2020;16:00;8,76
18.12.2020;17:00;8,22
18.12.2020;18:00;8,30
18.12.2020;19:00;8,00
18.12.2020;20:00;7,56
18.12.2020;21:00;7,73
18.12.2020;22:00;7,17
18.12.2020;23:00;5,97
19.12.2020;00:00;5,87
19.12.2020;01:00;6,34
19.12.2020;02:00;6,60
19.12.2020;03:00;6,63
19.12.2020;04:00;6,16
19.12.2020;05:00;5,22
19.12.2020;06:00;4,65
19.12.2020;07:00;4,44
19.12.2020;08:00;3,41
19.12.2020;09:00;3,76
19.12.2020;10:00;5,14
19.12.2020;11:00;5,79
19.12.2020;12:00;7,97
19.12.2020;13:00;7,76
19.12.2020;14:00;8,40
19.12.2020;15:00;7,46
19.12.2020;16:00;7,00
19.12.2020;17:00;6,85
19.12.2020;18:00;6,99
19.12.2020;19:00;7,71
19.12.2020;20:00;8,17
19.12.2020;21:00;7,69
19.12.2020;22:00;6,92
19.12.2020;23:00;6,69
20.12.2020;00:00;7,74
20.12.2020;01:00;7,27
20.12.2020;02:00;7,94
20.12.2020;03:00;7,16
20.12.2020;04:00;8,53
20.12.2020;05:00;9,50
20.12.2020;06:00;9,24
20.12.2020;07:00;11,17
20.12.2020;08:00;10,46
20.12.2020;09:00;8,92
20.12.2020;10:00;9,31
20.12.2020;11:00;11,25
20.12.2020;12:00;10,94
20.12.2020;13:00;10,66
20.12.2020;14:00;10,34
20.12.2020;15:00;9,94
20.12.2020;16:00;9,73
20.12.2020;17:00;9,50
20.12.2020;18:00;9,42
20.12.2020;19:00;9,20
20.12.2020;20:00;9,16
20.12.2020;21:00;9,40
20.12.2020;22:00;9,30
20.12.2020;23:00;8,61
